date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:22	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2027%20Sep%202011%2014:49:29%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial.0.delayed	(from )
20:19:22	119/119	---M--	200	added ('OK')	text/plain	etag:%2257a1a4-c3-4ac4c4251ed40%22-gzip	http://marakana.com/robots.txt		(from )
20:19:24	56056/56056	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:30%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/index.html	(from )
20:19:25	56056/56056	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:32%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/index.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/index-2.html	(from )
20:19:25	61432/61432	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:32%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/jboss_overview.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/jboss_overview.html	(from )
20:19:25	490/490	---M--	200	added ('OK')	image/png	etag:%22a20f4-1ea-436094419f500%22	http://marakana.com/bookshelf/images/note.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/images/note.png	(from )
20:19:29	69643/69643	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:35%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/table_of_contents.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/table_of_contents.html	(from )
20:19:30	52140/52140	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:36%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/installing_jboss_as.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/installing_jboss_as.html	(from )
20:19:32	79140/79140	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:37%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/directory_structure.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/directory_structure.html	(from )
20:19:33	53475/53475	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:39%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/starting_and_stopping.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/starting_and_stopping.html	(from )
20:19:35	68745/68745	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:40%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/deploying.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/deploying.html	(from )
20:19:36	74024/74024	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:41%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/web_tier.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/web_tier.html	(from )
20:19:38	50372/50372	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:43%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/jndi.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/jndi.html	(from )
20:19:38	50915/50915	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:44%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/javamail.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/javamail.html	(from )
20:19:41	75151/75151	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:46%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/jms.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/jms.html	(from )
20:19:42	78336/78336	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:47%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/ejb.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/ejb.html	(from )
20:19:43	57973/57973	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:49%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/web_services.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/web_services.html	(from )
20:19:45	80435/80435	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:50%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/jmx.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/jmx.html	(from )
20:19:46	70208/70208	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:51%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/class_loading.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/class_loading.html	(from )
20:19:48	60967/60967	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:53%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/database_integration.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/database_integration.html	(from )
20:19:50	101508/101508	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:54%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/security.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/security.html	(from )
20:19:50	56273/56273	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:56%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/performance.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/performance.html	(from )
20:19:53	31511/31511	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:59%20GMT	http://marakana.com/bookshelf/python_fundamentals_tutorial/index.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/python_fundamentals_tutorial/index.html	(from )
20:19:54	100425/100425	---M--	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202011%2014:49:58%20GMT	http://marakana.com/bookshelf/jboss_admin_tutorial/high_availability_and_scalability.html	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/jboss_admin_tutorial/high_availability_and_scalability.html	(from )
